,genre,publisher,critic_Score,user_Score,developer,cluster
176,5,2,86.0,8.0,26,72
177,0,4,92.0,9.2,60,36
178,11,20,0.0,0.0,1,0
179,2,3,0.0,0.0,1,38
180,3,4,82.0,8.2,61,72
181,8,0,68.0,7.1,0,81
182,6,0,0.0,0.0,1,10
183,6,6,93.0,8.5,17,77
184,5,3,88.0,8.1,62,77
185,0,7,88.0,8.0,18,36
186,1,0,88.0,8.1,23,36
187,6,17,0.0,0.0,1,90
188,9,0,0.0,0.0,1,97
189,11,4,93.0,8.2,42,77
190,10,5,81.0,7.3,52,72
191,5,3,92.0,8.7,63,77
192,1,3,88.0,9.0,33,36
193,5,16,80.0,5.4,64,47
194,5,22,62.0,7.6,43,84
195,5,18,94.0,8.7,55,73
196,1,23,0.0,0.0,1,22
197,0,4,98.0,7.7,60,77
198,5,7,82.0,8.2,65,72
199,5,20,91.0,8.6,56,73
200,4,0,73.0,7.6,0,39
201,5,0,96.0,8.9,0,77
202,3,4,86.0,8.4,66,36
203,5,0,86.0,8.4,67,72
204,8,3,93.0,7.9,33,77
205,1,1,91.0,8.2,53,36
206,5,3,86.0,8.1,68,72
207,0,7,91.0,7.9,57,36
208,0,8,0.0,0.0,1,38
209,3,4,85.0,7.9,60,36
210,5,3,0.0,0.0,1,55
211,0,7,84.0,8.2,18,36
212,5,4,76.0,7.9,6,39
213,6,24,0.0,0.0,1,22
214,5,3,94.0,8.9,63,77
215,3,0,77.0,7.9,0,39
216,0,4,97.0,7.5,60,77
217,0,12,86.0,8.9,69,36
218,8,0,81.0,8.6,0,72
219,6,2,94.0,8.7,70,77
220,1,7,82.0,9.2,35,6
221,3,5,56.0,8.2,71,70
222,8,1,84.0,6.5,15,72
223,8,3,86.0,8.1,72,72
224,8,4,0.0,4.8,73,97
225,6,13,87.0,9.0,46,73
226,8,4,0.0,4.9,73,97
227,6,1,89.0,6.5,59,77
228,0,7,0.0,4.4,18,38
229,2,0,93.0,9.0,0,77
230,3,25,79.0,7.3,74,2
231,5,12,91.0,9.3,44,73
232,5,0,0.0,0.0,1,10
233,5,20,91.0,8.9,55,73
234,5,5,80.0,7.5,52,72
235,0,7,84.0,4.2,35,36
236,2,3,85.0,8.7,75,36
237,11,4,0.0,0.0,1,97
238,0,7,80.0,7.8,35,6
239,3,3,80.0,7.5,76,6
240,1,3,80.0,7.1,4,6
241,5,5,80.0,7.2,52,72
242,0,7,0.0,0.0,1,38
243,9,17,94.0,7.3,48,73
244,5,26,0.0,0.0,1,22
245,6,6,88.0,6.2,17,77
246,0,7,95.0,7.7,18,36
247,3,14,0.0,0.0,1,94
248,8,23,96.0,9.1,77,73
249,0,7,0.0,0.0,1,38
250,6,4,91.0,7.9,42,77
251,5,3,93.0,8.9,63,77
252,0,12,0.0,8.2,69,79
253,1,1,90.0,8.3,53,36
254,3,2,56.0,6.0,78,70
255,6,6,84.0,8.1,79,72
256,3,3,0.0,0.0,1,55
257,9,25,85.0,8.5,32,2
258,8,0,88.0,8.9,0,77
259,8,5,85.0,7.7,52,72
260,5,5,80.0,6.3,52,72
261,3,25,61.0,0.0,80,84
262,8,7,89.0,8.6,77,77
263,5,0,93.0,8.0,0,77
264,7,0,84.0,8.8,49,72
265,6,6,90.0,8.0,17,77
266,5,5,70.0,4.9,81,16
267,0,7,81.0,8.7,35,6
268,0,4,90.0,8.7,60,36
269,6,0,86.0,8.7,48,72
270,9,25,88.0,8.6,32,2
271,0,2,87.0,6.8,82,36
272,1,3,84.0,7.3,83,36
273,5,18,87.0,7.6,55,73
274,6,6,94.0,8.1,17,77
275,0,12,91.0,9.1,84,36
276,3,3,0.0,0.0,1,55
277,0,3,76.0,7.9,85,6
278,6,25,92.0,9.2,86,2
279,3,0,59.0,4.0,87,70
280,8,4,78.0,3.7,7,39
281,4,0,0.0,0.0,1,10
282,3,0,68.0,6.9,0,16
283,5,15,0.0,0.0,1,32
284,6,0,0.0,0.0,1,10
285,5,4,77.0,7.5,50,39
286,4,7,79.0,8.0,88,6
287,2,3,0.0,0.0,1,38
288,5,7,64.0,7.5,89,81
289,5,20,0.0,0.0,1,90
290,0,8,0.0,0.0,1,38
291,2,3,91.0,8.8,72,36
292,2,0,85.0,7.9,54,36
293,5,5,88.0,8.1,12,77
294,0,7,81.0,7.6,35,6
295,8,5,80.0,7.0,90,72
296,3,0,0.0,0.0,1,10
297,0,4,94.0,8.5,60,36
298,4,7,67.0,7.3,91,81
299,1,2,74.0,8.4,26,16
300,2,0,92.0,9.2,23,77
301,8,3,82.0,7.9,92,72
302,2,3,90.0,8.7,33,36
303,4,0,77.0,7.5,93,39
304,0,12,82.0,7.9,69,6
305,5,17,96.0,8.9,48,73
306,3,4,86.0,7.6,66,36
307,0,7,91.0,7.6,18,36
308,8,16,82.0,8.7,94,73
309,8,15,0.0,0.0,1,32
310,1,7,64.0,7.7,95,81
311,5,0,78.0,8.5,0,39
312,8,16,84.0,9.0,94,73
313,3,5,0.0,6.2,12,79
314,8,7,85.0,6.9,29,72
315,4,10,70.0,8.0,96,16
316,9,27,0.0,0.0,1,66
317,2,28,0.0,0.0,1,22
318,8,7,0.0,0.0,1,97
319,5,2,78.0,7.8,26,39
320,5,3,72.0,6.8,97,39
321,5,20,0.0,0.0,1,90
322,8,7,72.0,7.9,98,39
323,5,20,0.0,0.0,1,90
324,5,27,0.0,0.0,1,22
325,0,7,88.0,7.5,18,36
326,2,3,0.0,0.0,1,38
327,8,7,89.0,7.9,99,77
328,5,17,83.0,7.5,48,73
329,5,5,72.0,4.1,81,16
330,0,7,84.0,6.4,35,36
331,5,5,89.0,8.3,52,77
332,8,7,80.0,5.8,29,72
333,5,20,92.0,8.7,55,73
334,8,7,79.0,5.6,29,72
335,8,7,88.0,8.6,29,77
336,0,8,0.0,0.0,1,38
337,3,4,71.0,8.8,66,16
338,3,0,83.0,8.4,100,72
339,6,17,0.0,0.0,1,90
340,9,25,79.0,8.3,32,2
341,8,2,84.0,8.2,101,72
342,5,2,70.0,8.0,8,16
343,5,4,80.0,8.9,6,72
344,5,12,93.0,8.2,102,73
345,0,7,88.0,6.7,35,36
346,3,3,68.0,8.2,103,16
347,2,3,91.0,8.4,104,36
348,8,4,75.0,5.5,11,39
349,5,18,76.0,7.9,50,47
350,9,29,0.0,0.0,1,66
351,5,0,95.0,9.2,0,77
352,8,5,90.0,8.5,52,77
353,10,27,0.0,0.0,1,66
354,5,5,0.0,0.0,1,55
355,3,0,0.0,0.0,1,10
356,8,7,77.0,8.5,103,39
357,2,3,0.0,0.0,1,38
358,5,16,60.0,7.2,105,95
359,5,0,87.0,7.8,0,77
360,8,2,80.0,8.5,106,72
361,5,5,86.0,7.9,12,72
362,5,17,0.0,0.0,1,90
363,5,7,85.0,8.7,107,72
364,5,4,77.0,8.0,108,39
365,6,0,0.0,0.0,1,10
366,7,0,86.0,9.2,49,72
367,1,3,0.0,0.0,1,38
368,3,0,63.0,4.6,0,81
369,9,3,0.0,0.0,1,97
370,0,7,84.0,4.4,18,36
371,0,7,83.0,5.9,18,6
372,1,3,81.0,7.7,4,6
373,8,1,85.0,7.3,15,72
374,8,7,0.0,0.0,1,97
375,9,27,0.0,0.0,1,66
376,5,3,91.0,8.6,75,77
377,5,22,62.0,8.1,109,84
378,6,13,83.0,8.0,46,73
379,3,30,82.0,7.6,58,42
380,2,0,88.0,8.8,0,36
381,10,2,89.0,7.7,110,77
382,4,14,89.0,9.1,32,73
383,4,0,87.0,8.9,0,77
384,8,1,82.0,7.5,111,72
385,0,7,83.0,6.5,35,6
386,10,31,0.0,8.0,112,66
387,5,4,87.0,9.1,60,77
388,1,7,88.0,0.0,35,36
389,1,0,0.0,0.0,1,10
390,2,8,82.0,8.5,113,6
391,3,0,73.0,6.8,20,39
392,3,0,83.0,9.0,0,72
393,6,6,82.0,7.8,79,72
394,3,0,81.0,7.8,114,72
395,6,5,93.0,8.0,115,77
396,8,17,74.0,5.4,48,47
397,6,7,96.0,8.9,116,77
398,9,22,67.0,8.0,117,29
399,5,0,91.0,8.9,0,77
400,0,7,94.0,7.9,18,36
401,4,7,75.0,7.8,88,39
402,5,18,74.0,7.9,50,47
403,8,2,89.0,8.2,101,77
404,5,4,75.0,7.4,108,39
405,5,18,72.0,8.0,64,47
406,6,7,93.0,5.8,116,77
407,10,3,87.0,7.7,118,77
408,2,5,0.0,0.0,1,38
409,5,27,81.0,8.1,119,2
410,5,5,93.0,8.5,52,77
411,0,27,0.0,0.0,1,22
412,0,7,87.0,6.3,35,36
413,8,3,91.0,8.1,120,77
414,2,31,73.0,7.0,121,88
415,8,5,91.0,8.6,52,77
416,0,2,88.0,7.2,82,36
417,9,22,73.0,9.1,122,29
418,9,32,0.0,0.0,1,52
419,3,7,82.0,6.6,88,6
420,0,12,93.0,9.1,84,36
421,5,17,94.0,8.5,48,73
422,8,7,88.0,8.6,29,77
423,4,0,66.0,6.9,0,81
424,6,7,85.0,5.9,123,72
425,2,8,64.0,7.8,124,81
426,5,18,84.0,8.1,125,73
427,5,20,85.0,7.8,126,73
428,8,7,88.0,8.5,29,77
429,8,7,86.0,6.4,127,72
430,4,7,70.0,3.9,88,16
431,1,0,92.0,8.1,0,77
432,8,3,87.0,9.0,92,77
433,9,27,0.0,0.0,1,66
434,7,22,79.0,7.8,74,2
435,9,17,93.0,7.3,48,73
436,5,3,85.0,8.3,128,72
437,2,0,76.0,8.8,34,39
438,8,4,78.0,4.3,7,39
439,0,7,0.0,4.2,18,38
440,2,0,0.0,0.0,1,10
441,6,1,91.0,8.7,116,77
442,3,8,73.0,8.6,124,16
443,0,12,93.0,9.0,84,36
444,0,8,67.0,6.8,129,16
445,0,3,85.0,8.9,130,36
446,4,10,61.0,5.3,131,70
447,8,4,76.0,7.7,132,39
448,7,0,83.0,7.4,54,72
449,8,3,90.0,8.7,133,77
450,4,5,0.0,7.7,12,79
451,1,33,0.0,0.0,1,52
452,0,7,81.0,5.8,57,6
453,6,5,87.0,8.7,70,77
454,5,5,83.0,7.8,12,72
455,2,0,65.0,7.4,0,81
456,11,15,0.0,0.0,1,0
457,9,18,84.0,8.4,134,73
458,0,7,85.0,6.1,57,36
459,9,27,0.0,0.0,1,66
460,8,2,96.0,8.9,135,77
461,8,0,97.0,9.3,41,77
462,5,5,90.0,8.2,52,77
463,5,27,0.0,7.0,66,22
464,10,34,0.0,0.0,1,52
465,0,35,0.0,0.0,136,52
466,8,7,75.0,7.5,137,39
467,1,7,0.0,0.0,1,38
468,4,5,0.0,7.6,138,79
469,9,27,0.0,0.0,1,66
470,0,3,0.0,0.0,1,38
471,2,3,0.0,0.0,1,38
472,9,27,0.0,0.0,1,66
473,9,11,0.0,0.0,1,32
474,6,0,0.0,0.0,1,10
475,0,7,89.0,8.6,139,36
476,2,3,87.0,8.2,33,36
477,2,3,0.0,0.0,1,38
478,5,3,80.0,7.9,128,72
479,1,7,89.0,7.2,140,36
480,5,4,81.0,5.6,141,72
481,8,7,89.0,7.5,29,77
482,4,7,83.0,7.7,142,72
483,5,16,73.0,6.7,143,47
484,8,3,84.0,7.9,120,72
485,2,0,81.0,7.4,144,6
486,5,27,84.0,7.6,119,2
487,9,25,79.0,7.4,145,2
488,11,0,78.0,8.3,34,39
489,2,8,69.0,6.6,124,16
490,9,18,83.0,7.7,146,73
491,5,0,95.0,9.0,48,77
492,5,15,86.0,8.2,48,73
493,3,0,79.0,7.9,21,6
494,0,7,0.0,3.1,18,38
495,8,4,82.0,6.5,6,72
496,10,2,89.0,7.8,110,77
497,5,16,84.0,9.0,50,73
498,0,7,78.0,5.9,57,6
499,8,3,73.0,6.8,120,39
500,0,7,84.0,5.7,57,36
501,1,7,93.0,9.1,140,36
502,6,36,0.0,0.0,1,52
503,7,0,79.0,7.7,0,72
504,8,4,77.0,8.2,6,39
505,8,7,92.0,8.6,147,77
506,7,0,83.0,8.7,49,72
507,6,1,85.0,8.5,148,72
508,3,4,85.0,6.3,60,36
509,5,31,0.0,6.7,149,52
510,5,5,89.0,7.7,150,77
511,1,7,84.0,6.9,151,36
512,5,0,0.0,0.0,1,10
513,8,7,71.0,7.9,152,39
514,6,13,79.0,6.6,46,47
515,1,2,78.0,7.8,153,6
516,0,8,90.0,8.2,82,36
517,11,1,82.0,7.2,154,72
518,0,2,90.0,7.7,82,36
519,9,3,0.0,0.0,1,97
520,0,7,90.0,7.5,18,36
521,0,7,80.0,8.0,30,6
522,8,7,74.0,6.7,155,39
523,5,7,71.0,7.6,22,16
524,5,3,91.0,8.7,68,77
525,0,7,84.0,8.1,35,36
526,0,0,79.0,8.0,67,6
527,0,7,87.0,7.5,35,36
528,4,0,73.0,7.7,156,39
529,9,27,80.0,8.6,157,2
530,2,3,0.0,0.0,1,38
531,0,7,78.0,7.8,57,6
532,6,17,72.0,8.7,48,47
533,5,16,80.0,7.4,50,47
534,2,3,0.0,0.0,1,38
535,2,8,73.0,8.3,124,16
536,6,7,86.0,7.9,116,72
537,0,7,83.0,5.5,57,6
538,5,2,0.0,0.0,1,10
539,2,0,0.0,0.0,1,10
540,6,0,73.0,8.0,158,39
