id,name,platform,year_of_Release,genre,publisher,na_Sales,eu_Sales,jp_Sales,other_Sales,global_Sales,critic_Score,user_Score,developer,rating
1965,WWE SmackDown vs. Raw 2009,PS3,2008,Fighting,THQ,0.51,0.3,0.01,0.12,0.94,78.0,7.0,Yuke's,T
1966,Skylanders: Spyro's Adventure,PS3,2011,Action,Activision,0.39,0.39,0.0,0.16,0.94,77.0,5.0,Toys for Bob,E10+
1967,Rocksmith 2014,X360,2013,Misc,Ubisoft,0.69,0.16,0.0,0.09,0.94,,,,
1968,Brutal Legend,PS3,2009,Action,Electronic Arts,0.54,0.27,0.0,0.13,0.94,83.0,7.6,Double Fine Productions,M
1969,Tony Hawk: RIDE,Wii,2009,Sports,Activision,0.69,0.17,0.0,0.08,0.94,47.0,4.5,Buzz Monkey,E10+
1970,MLB 2000,PS,1999,Sports,Sony Computer Entertainment,0.52,0.35,0.0,0.06,0.94,,,,
1971,Bully,PS2,2006,Action,Take-Two Interactive,0.75,0.03,0.04,0.12,0.94,87.0,9.1,Rockstar Vancouver,T
1972,Prince of Persia: The Sands of Time,XB,2003,Action,Ubisoft,0.57,0.33,0.0,0.04,0.94,92.0,7.8,Ubisoft,T
1973,Phantasy Star Portable,PSP,2008,Role-Playing,Sega,0.19,0.06,0.63,0.05,0.94,64.0,7.8,Alfa System,T
1974,Hot Shots Golf Fore!,PS2,2003,Sports,Sony Computer Entertainment,0.46,0.36,0.0,0.12,0.94,,,,
1975,MLB 06: The Show,PS2,2006,Sports,Sony Computer Entertainment,0.78,0.03,0.0,0.13,0.94,83.0,8.9,SCEA San Diego Studios,E
1976,NHL 2003,PS2,2002,Sports,Electronic Arts,0.46,0.36,0.0,0.12,0.93,79.0,6.8,EA Sports,E
1977,Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013,Fighting,Namco Bandai Games,0.32,0.32,0.15,0.15,0.93,77.0,7.9,CyberConnect2,T
1978,Bentley's Hackpack,GBA,2005,Misc,N/A,0.67,0.25,0.0,0.02,0.93,,,,
1979,Tony Hawk's Pro Skater 4,XB,2002,Sports,Activision,0.59,0.3,0.0,0.04,0.93,90.0,8.5,Neversoft Entertainment,T
1980,The Sims 2,DS,2005,Simulation,Electronic Arts,0.81,0.05,0.0,0.07,0.93,70.0,6.1,Griptonite Games,E10+
1981,SingStar Abba,PS3,2008,Misc,Sony Computer Entertainment,0.27,0.5,0.0,0.16,0.93,70.0,5.5,SCEE London Studio,T
1982,Crash City Mayhem,GBA,2004,Racing,THQ,0.67,0.25,0.0,0.02,0.93,,,,
1983,Toy Story 2: Buzz Lightyear to the Rescue!,N64,1999,Platform,Activision,0.71,0.2,0.0,0.01,0.93,58.0,7.2,Traveller's Tales,E
1984,White Knight Chronicles: International Edition,PS3,2008,Role-Playing,Sony Computer Entertainment,0.33,0.16,0.36,0.08,0.93,64.0,7.5,Level 5,T
1985,Guitar Hero: Metallica,Wii,2009,Misc,Activision,0.4,0.43,0.0,0.1,0.93,85.0,8.6,Neversoft Entertainment,T
1986,NBA 2K16,X360,2015,Sports,Take-Two Interactive,0.78,0.05,0.0,0.1,0.93,,3.2,Visual Concepts,E
1987,Teenage Mutant Ninja Turtles,GBA,2003,Action,Unknown,0.67,0.25,0.0,0.02,0.93,71.0,8.8,Konami,E
1988,Bayonetta,X360,2009,Action,Sega,0.51,0.25,0.09,0.08,0.93,90.0,8.0,PlatinumGames,M
1989,MLB 07: The Show,PS2,2007,Sports,Sony Computer Entertainment,0.77,0.03,0.0,0.13,0.93,83.0,8.6,SCEA,E
1990,Cars,GC,2006,Racing,THQ,0.72,0.19,0.0,0.03,0.93,71.0,7.0,Rainbow Studios,E
1991,Build-A-Bear Workshop,DS,2007,Simulation,Game Factory,0.85,0.01,0.0,0.07,0.93,61.0,4.8,Neko Entertainment,E
1992,Overwatch,XOne,2016,Shooter,Activision,0.57,0.27,0.0,0.09,0.93,91.0,5.6,Blizzard Entertainment,T
1993,Kingdom Hearts Re:coded,DS,2010,Role-Playing,Square Enix,0.53,0.09,0.27,0.05,0.93,66.0,7.0,Square Enix h.a.n.d. Inc.,E10+
1994,Operation Flashpoint: Dragon Rising,X360,2009,Shooter,Codemasters,0.36,0.45,0.02,0.1,0.93,77.0,7.8,Codemasters,M
1995,Inazuma Eleven 3,DS,2010,Role-Playing,Level 5,0.0,0.0,0.93,0.0,0.93,,,,
1996,Wipeout: In The Zone,X360,2011,Misc,Activision,0.87,0.0,0.0,0.06,0.93,39.0,5.6,Activision,E10+
1997,SnoCross Championship Racing,PS,1999,Racing,Ubisoft,0.52,0.35,0.0,0.06,0.93,66.0,,UDS,E
1998,Lego Batman 3: Beyond Gotham,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.37,0.4,0.0,0.15,0.93,73.0,7.1,TT Games,E10+
1999,Assassin's Creed III,PC,2012,Action,Ubisoft,0.28,0.53,0.0,0.12,0.93,80.0,6.2,Ubisoft,M
2000,Teenage Mutant Ninja Turtles,PS2,2003,Action,Konami Digital Entertainment,0.45,0.35,0.0,0.12,0.92,59.0,8.7,KCE Studios,E
2001,Top Gun: Combat Zones,PS2,2001,Simulation,Titus,0.45,0.35,0.0,0.12,0.92,63.0,3.3,Titus Software,E
2002,NCAA Football 11,X360,2010,Sports,Electronic Arts,0.86,0.0,0.0,0.06,0.92,86.0,7.1,EA Tiburon,E
2003,Dragon Age: Inquisition,XOne,2014,Role-Playing,Electronic Arts,0.56,0.28,0.0,0.08,0.92,85.0,7.0,BioWare,M
2004,007: The World is not Enough,PS,2000,Action,Electronic Arts,0.51,0.35,0.0,0.06,0.92,61.0,6.7,Black Ops Entertainment,T
2005,Brothers in Arms: Hell's Highway,PS3,2008,Shooter,Ubisoft,0.44,0.34,0.0,0.15,0.92,76.0,8.0,Gearbox Software,M
2006,Cars,Wii,2006,Racing,THQ,0.83,0.03,0.0,0.07,0.92,65.0,,Rainbow Studios,E
2007,Monster High: Ghoul Spirit,DS,2011,Misc,THQ,0.69,0.16,0.0,0.07,0.92,,,ImaginEngine,E
2008,Phoenix Wright: Ace Attorney,DS,2005,Adventure,Capcom,0.44,0.05,0.39,0.05,0.92,81.0,9.2,Capcom,T
2009,Borderlands 2,PC,2012,Shooter,Take-Two Interactive,0.42,0.41,0.0,0.1,0.92,89.0,8.2,Gearbox Software,M
2010,Disney Magical World,3DS,2013,Adventure,Nintendo,0.17,0.2,0.53,0.03,0.92,71.0,7.5,h.a.n.d. Inc.,E
2011,NHL 98,PS,1997,Sports,Electronic Arts,0.51,0.35,0.0,0.06,0.92,,,,
2012,Space Jam,PS,1996,Sports,Acclaim Entertainment,0.51,0.35,0.0,0.06,0.92,,,,
2013,South Park: The Stick of Truth,X360,2014,Role-Playing,Ubisoft,0.57,0.26,0.0,0.09,0.92,82.0,8.4,Obsidian Entertainment,M
2014,Knockout Kings 2000,N64,1999,Fighting,Electronic Arts,0.63,0.27,0.0,0.02,0.92,,,,
2015,MLB 15: The Show,PS4,2015,Sports,Sony Computer Entertainment,0.67,0.08,0.0,0.17,0.92,80.0,7.8,SCEA San Diego Studios,E
2016,MLB 12: The Show,PS3,2012,Sports,Sony Computer Entertainment,0.86,0.0,0.0,0.06,0.92,87.0,7.5,SCEA San Diego Studios,E
2017,SpongeBob SquarePants: The Yellow Avenger,PSP,2006,Action,THQ,0.55,0.21,0.0,0.16,0.92,48.0,6.4,Tantalus Interactive,E
2018,Dante's Inferno,X360,2010,Action,Electronic Arts,0.63,0.2,0.02,0.07,0.92,73.0,7.7,Visceral Games,M
2019,South Park: The Stick of Truth,PS3,2014,Role-Playing,Ubisoft,0.43,0.34,0.0,0.16,0.92,85.0,8.5,Obsidian Entertainment,M
2020,WWE SmackDown vs. Raw 2009,X360,2008,Fighting,THQ,0.58,0.26,0.0,0.08,0.92,79.0,7.1,Yuke's,T
2021,Wii Play: Motion,Wii,2011,Misc,Nintendo,0.23,0.42,0.18,0.09,0.92,60.0,6.1,Nintendo,E10+
2022,Sonic Riders,GC,2006,Racing,Sega,0.71,0.18,0.0,0.03,0.92,59.0,8.0,Sonic Team,E
2023,Starsky & Hutch,PS2,2003,Racing,Empire Interactive,0.45,0.35,0.0,0.12,0.92,,,,
2024,Tobal No.1,PS,1996,Fighting,Sony Computer Entertainment,0.12,0.08,0.66,0.06,0.92,,,,
2025,Blue Dragon,X360,2006,Role-Playing,Microsoft Game Studios,0.3,0.32,0.21,0.08,0.92,79.0,7.8,Mistwalker Artoon,T
2026,Buzz! Quiz World,PS3,2009,Misc,Sony Computer Entertainment,0.16,0.57,0.0,0.19,0.91,,,,
2027,The LEGO Movie Videogame,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.33,0.42,0.02,0.15,0.91,80.0,6.8,TT Games,E10+
2028,Kung Fu Panda,Wii,2008,Action,Activision,0.5,0.32,0.0,0.09,0.91,70.0,6.7,Xpec,E10+
2029,Street Hoops,PS2,2002,Sports,Activision,0.45,0.35,0.0,0.12,0.91,62.0,7.9,Black Ops Entertainment,T
2030,EA Sports Grand Slam Tennis,Wii,2009,Sports,Electronic Arts,0.28,0.51,0.02,0.11,0.91,,,,
2031,Nickelodeon Fit,Wii,2010,Sports,Take-Two Interactive,0.76,0.09,0.0,0.06,0.91,,,High Voltage Software,E
2032,Knockout Kings 2002,PS2,2002,Sports,Electronic Arts,0.45,0.35,0.0,0.12,0.91,76.0,8.1,Electronic Arts,T
2033,Harvest Moon 3D: A New Beginning,3DS,2012,Action,Marvelous Entertainment,0.41,0.17,0.29,0.05,0.91,74.0,8.2,Marvelous AQL,E
2034,Tom Clancy's EndWar,X360,2008,Strategy,Ubisoft,0.58,0.24,0.01,0.09,0.91,77.0,7.2,Ubisoft Shanghai,T
2035,Injustice: Gods Among Us,PS4,2013,Fighting,Warner Bros. Interactive Entertainment,0.46,0.3,0.0,0.16,0.91,,,,
2036,EA Sports UFC 2,PS4,2016,Sports,Electronic Arts,0.28,0.49,0.0,0.15,0.91,79.0,6.2,EA Sports,T
2037,Tokyo Xtreme Racer 3,PS2,2003,Racing,Genki,0.35,0.27,0.21,0.09,0.91,63.0,8.9,Genki,E
2038,Xenoblade Chronicles,Wii,2010,Role-Playing,Nintendo,0.43,0.25,0.16,0.07,0.91,92.0,8.9,Monolith Soft,T
2039,Assassin's Creed,PC,2008,Adventure,Ubisoft,0.01,0.83,0.0,0.07,0.91,,,,
2040,Colin McRae Rally 2.0,PS,2000,Racing,Codemasters,0.02,0.8,0.02,0.07,0.91,90.0,8.7,Codemasters,E
2041,Glover,N64,1998,Platform,Hasbro Interactive,0.72,0.17,0.0,0.01,0.91,,,,
2042,EA Sports Active 2,PS3,2010,Sports,Electronic Arts,0.52,0.27,0.0,0.12,0.91,78.0,5.4,EA Canada,E
2043,Dynasty Warriors 7,PS3,2011,Action,Tecmo Koei,0.25,0.13,0.46,0.06,0.91,57.0,7.3,Omega Force,T
2044,Namco Museum,XB,N/A,Misc,Unknown,0.77,0.11,0.0,0.04,0.91,59.0,,Mass Media,E
2045,SSX,PS3,2012,Sports,Electronic Arts,0.35,0.41,0.02,0.14,0.91,81.0,6.9,EA Canada,E
2046,Sonic Riders: Zero Gravity,Wii,2008,Racing,Sega,0.48,0.32,0.02,0.09,0.91,56.0,8.1,Sonic Team,E
2047,AMF Bowling Pinbusters!,Wii,2007,Sports,Bethesda Softworks,0.84,0.0,0.0,0.07,0.91,,,,
2048,Sonic Mega Collection Plus,XB,2004,Misc,Sega,0.61,0.26,0.0,0.04,0.91,75.0,7.8,Sonic Team,E
2049,Just Dance 2016,Wii,2015,Misc,Ubisoft,0.41,0.42,0.0,0.07,0.91,,,Ubisoft,E10+
2050,NBA 2K14,XOne,2013,Sports,Take-Two Interactive,0.7,0.11,0.0,0.09,0.91,86.0,5.7,Visual Concepts,E
2051,Operation Flashpoint: Dragon Rising,PS3,2009,Shooter,Codemasters,0.23,0.46,0.05,0.17,0.91,76.0,6.5,Codemasters,M
2052,Tiger Woods PGA Tour 2002,PS2,2002,Sports,Electronic Arts,0.44,0.35,0.0,0.12,0.9,80.0,7.6,EA Sports,E
2053,LEGO Harry Potter: Years 5-7,PS3,N/A,Action,Warner Bros. Interactive Entertainment,0.36,0.4,0.0,0.14,0.9,76.0,8.3,Traveller's Tales,E10+
2054,Lost Odyssey,X360,2007,Role-Playing,Microsoft Game Studios,0.45,0.26,0.11,0.08,0.9,78.0,8.3,Mistwalker,T
2055,MLB 2005,PS2,2004,Sports,Sony Computer Entertainment,0.44,0.35,0.0,0.12,0.9,78.0,7.6,989 Sports,E
2056,Marvel: Ultimate Alliance 2,X360,2009,Role-Playing,Activision,0.68,0.15,0.0,0.08,0.9,73.0,7.3,Vicarious Visions,T
2057,Burnout Revenge,PS2,2005,Racing,Electronic Arts,0.75,0.03,0.0,0.12,0.9,90.0,8.8,Criterion Games,E10+
2058,Crysis 3,X360,2013,Shooter,Electronic Arts,0.51,0.31,0.01,0.08,0.9,76.0,6.7,Crytek,M
2059,Destruction Derby,PS,1995,Racing,Psygnosis,0.5,0.34,0.0,0.06,0.9,,,,
2060,Homefront,PS3,2011,Shooter,THQ,0.32,0.39,0.04,0.15,0.9,70.0,5.7,Kaos Studios,M
2061,The Witcher 2: Assassins of Kings,X360,2012,Action,Namco Bandai Games,0.48,0.32,0.02,0.08,0.9,88.0,8.3,CD Projekt Red Studio,M
2062,Avatar: The Game,PS3,2009,Action,Ubisoft,0.32,0.42,0.0,0.16,0.9,,,,
2063,3Xtreme,PS,1999,Action,989 Studios,0.5,0.34,0.0,0.06,0.9,,,,
2064,Hot Shots Tennis,PS2,2006,Sports,Sony Computer Entertainment,0.17,0.13,0.55,0.05,0.9,70.0,8.1,Clap Hanz,E
2065,MX vs. ATV Reflex,PS3,2009,Racing,THQ,0.52,0.25,0.0,0.12,0.9,74.0,7.4,Rainbow Studios,E
2066,LEGO Jurassic World,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.32,0.42,0.02,0.14,0.9,70.0,7.0,TT Games,E10+
2067,Sonic Heroes,XB,2003,Platform,Sega,0.41,0.43,0.01,0.05,0.9,73.0,7.6,Sonic Team,E
2068,Far Cry 4,X360,2014,Shooter,Ubisoft,0.45,0.37,0.0,0.08,0.9,,7.0,Ubisoft Montreal,M
2069,Madden NFL 99,N64,1998,Sports,Electronic Arts,0.84,0.05,0.0,0.01,0.9,,,,
2070,Spider-Man 3,PS2,2007,Platform,Activision,0.74,0.03,0.01,0.12,0.9,50.0,6.5,Vicarious Visions,T
2071,James Bond 007: Agent Under Fire,XB,2002,Shooter,Electronic Arts,0.65,0.22,0.0,0.03,0.9,71.0,7.5,Electronic Arts,T
2072,DJ Hero,PS3,2009,Misc,Activision,0.42,0.34,0.0,0.14,0.9,86.0,7.8,FreeStyleGames,T
2073,Madden NFL 25,PS4,2013,Sports,Electronic Arts,0.62,0.13,0.0,0.14,0.9,74.0,5.2,EA Sports,E
2074,X-Men Legends,XB,2004,Role-Playing,Activision,0.62,0.24,0.0,0.04,0.9,82.0,8.5,Raven Software,T
2075,NBA Live 2005,XB,2004,Sports,Electronic Arts,0.81,0.05,0.0,0.04,0.9,85.0,7.6,EA Canada,E
2076,Harry Potter: Quidditch World Cup,PS2,2003,Sports,Electronic Arts,0.44,0.34,0.0,0.11,0.9,68.0,6.6,Magic Pockets,E
2077,LEGO Pirates of the Caribbean: The Video Game,DS,2011,Action,Disney Interactive Studios,0.34,0.46,0.0,0.1,0.9,69.0,,Traveller's Tales,E10+
2078,Skylanders: Trap Team,X360,2014,Action,Activision,0.54,0.27,0.0,0.08,0.89,,,Toys for Bob,E10+
2079,Madagascar,GBA,2005,Platform,Activision,0.62,0.24,0.0,0.03,0.89,71.0,,Vicarious Visions,E
2080,Blitz: The League,PS2,2005,Sports,Unknown,0.74,0.03,0.0,0.12,0.89,76.0,8.0,Midway,M
2081,The Biggest Loser: Ultimate Workout,X360,2010,Sports,THQ,0.73,0.1,0.0,0.06,0.89,68.0,,Blitz Games Studios,E
2082,Castlevania: Circle of the Moon,GBA,2001,Platform,Konami Digital Entertainment,0.6,0.22,0.05,0.02,0.89,91.0,8.5,KCEK,T
2083,SOCOM 4: U.S. Navy SEALs,PS3,2011,Shooter,Sony Computer Entertainment,0.66,0.11,0.04,0.08,0.89,67.0,6.3,Zipper Interactive,M
2084,Tiger Woods PGA Tour 06,PS2,2005,Sports,Electronic Arts,0.74,0.03,0.0,0.12,0.89,83.0,6.2,EA Sports,E
2085,Classic NES Series: The Legend of Zelda,GBA,2004,Adventure,Nintendo,0.46,0.17,0.24,0.02,0.89,84.0,8.6,Nintendo,E
2086,Fire Emblem: The Sacred Stones,GBA,2004,Strategy,Nintendo,0.42,0.16,0.3,0.02,0.89,85.0,9.1,Intelligent Systems,E
2087,TouchMaster 2,DS,2008,Puzzle,Midway Games,0.3,0.49,0.0,0.1,0.89,76.0,,Midway Studios - San Diego,E
2088,Cars 2,Wii,2011,Racing,Disney Interactive Studios,0.43,0.37,0.0,0.09,0.89,,,,
2089,Killzone: Liberation,PSP,2006,Shooter,Sony Computer Entertainment,0.44,0.27,0.0,0.18,0.89,77.0,8.3,Guerrilla,T
2090,Finding Nemo,GC,2003,Action,THQ,0.69,0.18,0.0,0.02,0.89,62.0,5.5,Traveller's Tales,E
2091,LEGO The Lord of the Rings,Wii,2012,Action,Warner Bros. Interactive Entertainment,0.48,0.34,0.0,0.07,0.89,,7.2,TT Games,E10+
2092,Ace Combat 2,PS,1997,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,83.0,8.2,Namco,T
2093,LEGO Marvel Super Heroes,3DS,2013,Action,Warner Bros. Interactive Entertainment,0.42,0.36,0.04,0.07,0.89,61.0,5.2,TT Games,E10+
2094,NFL 2K2,PS2,2001,Sports,Sega,0.44,0.34,0.0,0.11,0.89,,,,
2095,Pure,PS3,2008,Racing,Disney Interactive Studios,0.42,0.33,0.0,0.14,0.89,,,,
2096,We Ski & Snowboard,Wii,2008,Sports,Atari,0.38,0.29,0.15,0.08,0.89,,,,
2097,Call of Duty: World at War,DS,2008,Shooter,Activision,0.56,0.25,0.0,0.08,0.89,,,,
2098,Resistance: Retribution,PSP,2009,Shooter,Sony Computer Entertainment,0.27,0.35,0.05,0.21,0.89,,,,
2099,Just Cause 3,XOne,2015,Action,Square Enix,0.43,0.39,0.0,0.07,0.89,,,,
2100,FIFA Street,X360,2012,Sports,Electronic Arts,0.17,0.62,0.0,0.1,0.89,,,,
2101,Tiger Woods PGA Tour 12: The Masters,PS3,2011,Sports,Electronic Arts,0.52,0.25,0.0,0.11,0.89,,,,
2102,MLB 2001,PS,2000,Sports,Sony Computer Entertainment,0.49,0.34,0.0,0.06,0.89,,,,
2103,CSI: Hard Evidence,Wii,2008,Adventure,Ubisoft,0.36,0.43,0.0,0.1,0.89,,,,
2104,FIFA Soccer 09 All-Play,Wii,2008,Sports,Electronic Arts,0.28,0.51,0.0,0.09,0.89,,,,
2105,The Jak and Daxter Collection,PS3,2012,Platform,Sony Computer Entertainment,0.6,0.18,0.0,0.11,0.89,,,,
2106,SingStar Anthems,PS2,2006,Misc,Sony Computer Entertainment,0.0,0.68,0.0,0.2,0.89,,,,
2107,Fossil Fighters,DS,2008,Role-Playing,Nintendo,0.83,0.0,0.0,0.06,0.89,,,,
2108,LEGO Indiana Jones 2: The Adventure Continues,PS3,2009,Action,Activision,0.47,0.29,0.0,0.13,0.89,,,,
2109,NCAA Football 13,PS3,2012,Action,Electronic Arts,0.82,0.0,0.0,0.07,0.89,,,,
2110,Buzz! Quiz TV,PS3,2008,Misc,Sony Computer Entertainment,0.28,0.47,0.0,0.13,0.88,,,,
2111,Mega Man 8 Anniversary Collector's Edition,PS,1996,Platform,Capcom,0.44,0.3,0.09,0.06,0.88,,,,
2112,Samba De Amigo,Wii,2008,Misc,Sega,0.41,0.37,0.01,0.09,0.88,,,,
2113,The Simpsons Game,PS3,2007,Action,Electronic Arts,0.38,0.36,0.0,0.15,0.88,71.0,7.5,EA Redwood Shores,T
2114,Call of Duty: Modern Warfare 2,PC,2009,Shooter,Activision,0.01,0.79,0.0,0.09,0.88,86.0,4.2,Infinity Ward,M
2115,Kirby: Planet Robobot,3DS,2016,Action,Nintendo,0.27,0.11,0.46,0.04,0.88,81.0,8.7,HAL Labs,E
2116,F1 2010,X360,2010,Racing,Codemasters,0.18,0.59,0.01,0.1,0.88,84.0,7.5,Codemasters Birmingham,E
2117,The Tomb Raider Trilogy,PS3,2011,Action,Square Enix,0.27,0.46,0.0,0.15,0.88,78.0,8.1,Crystal Dynamics,T
2118,Call of Juarez: Bound in Blood,PS3,2009,Shooter,Ubisoft,0.35,0.37,0.01,0.15,0.88,78.0,7.8,Techland,M
2119,Lego Batman 3: Beyond Gotham,X360,2014,Action,Warner Bros. Interactive Entertainment,0.48,0.32,0.0,0.08,0.88,,6.8,TT Games,E10+
2120,The Elder Scrolls Online,PC,2014,Role-Playing,Bethesda Softworks,0.32,0.49,0.0,0.07,0.88,71.0,5.7,ZeniMax Media,M
2121,NBA 2K6,PS2,2005,Action,Take-Two Interactive,0.43,0.34,0.0,0.11,0.88,84.0,8.3,Visual Concepts,E
2122,Dissidia 012: Duodecim Final Fantasy,PSP,2011,Fighting,Square Enix,0.21,0.12,0.46,0.08,0.88,78.0,8.3,Square Enix,T
2123,Buzz! The Mega Quiz,PS2,2007,Misc,Sony Computer Entertainment,0.32,0.06,0.0,0.5,0.88,,,,
2124,Star Wars: Rebel Assault II - The Hidden Empire,PS,1996,Shooter,CTO SpA,0.49,0.33,0.0,0.06,0.88,,,,
2125,Monster 4X4: World Circuit,Wii,2006,Racing,Ubisoft,0.8,0.0,0.01,0.07,0.88,51.0,7.8,Ubisoft,E
2126,Resident Evil: Revelations,3DS,2012,Action,Capcom,0.3,0.22,0.3,0.05,0.88,82.0,8.5,Capcom,M
2127,Rhythm Heaven,Wii,N/A,Misc,Unknown,0.1,0.0,0.77,0.01,0.88,,,,
2128,Sonic Chronicles: The Dark Brotherhood,DS,2008,Role-Playing,Sega,0.5,0.29,0.01,0.08,0.88,,,,
2129,Rock Band 3,X360,2010,Misc,MTV Games,0.73,0.09,0.0,0.06,0.88,,,,
2130,Star Wars: The Force Unleashed,DS,2008,Action,LucasArts,0.5,0.28,0.0,0.09,0.88,,,,
2131,Grand Theft Auto IV,PC,2008,Action,Take-Two Interactive,0.01,0.79,0.0,0.07,0.88,,,,
2132,ESPN NHL 2K5,PS2,2004,Sports,Global Star,0.43,0.33,0.0,0.11,0.88,,,,
2133,WWE SmackDown vs. Raw 2011,X360,2010,Fighting,THQ,0.44,0.35,0.0,0.08,0.88,,,,
2134,Crimson Skies: High Road to Revenge,XB,2003,Simulation,Microsoft Game Studios,0.65,0.19,0.0,0.03,0.87,,,,
2135,Madden NFL 08,Wii,2007,Sports,Electronic Arts,0.8,0.0,0.0,0.07,0.87,,,,
2136,Spec Ops: Ranger Elite,PS,2001,Shooter,TalonSoft,0.49,0.33,0.0,0.06,0.87,,,,
2137,Gex,PS,1995,Platform,Crystal Dynamics,0.49,0.33,0.0,0.06,0.87,,,,
2138,F1 2009,Wii,2009,Racing,Codemasters,0.15,0.62,0.0,0.11,0.87,,,,
2139,Tom Clancy's Ghost Recon: Island Thunder,XB,2003,Shooter,Ubisoft,0.61,0.24,0.0,0.03,0.87,,,,
2140,Sleeping Dogs,X360,2012,Action,Square Enix ,0.38,0.4,0.01,0.08,0.87,,,,
2141,Kingdoms of Amalur: Reckoning,X360,2012,Role-Playing,Electronic Arts,0.55,0.24,0.01,0.07,0.87,,,,
2142,Metal Gear Ac!d,PSP,2004,Strategy,Konami Digital Entertainment,0.32,0.26,0.12,0.17,0.87,,,,
2143,Need for Speed: V-Rally,PS,1997,Racing,Infogrames,0.43,0.29,0.09,0.06,0.87,,,,
2144,Kingdom Hearts Re: Chain of Memories,PS2,2008,Role-Playing,Square Enix,0.73,0.03,0.0,0.12,0.87,,,,
2145,Phantasy Star Portable 2,PSP,2009,Role-Playing,Sega,0.08,0.11,0.62,0.06,0.87,,,,
2146,Peppa Pig: The Game,DS,2008,Misc,Pinnacle,0.0,0.81,0.0,0.06,0.87,,,,
2147,Michael Jackson: The Experience,X360,2011,Misc,Ubisoft,0.62,0.18,0.0,0.07,0.87,,,,
2148,NFL GameDay '97,PS,1996,Sports,Sony Computer Entertainment,0.48,0.33,0.0,0.06,0.87,,,,
2149,Tony Hawk's Project 8,PS2,2006,Sports,Activision,0.72,0.03,0.0,0.12,0.87,,,,
2150,LittleBigPlanet Karting,PS3,2012,Action,Sony Computer Entertainment,0.42,0.3,0.01,0.15,0.87,,,,
2151,NHL 2000,PS,1998,Sports,Electronic Arts,0.48,0.33,0.0,0.06,0.87,,,,
2152,GRID,X360,2008,Racing,Codemasters,0.33,0.44,0.01,0.09,0.87,,,,
2153,Monster Strike 3DS,3DS,2015,Action,mixi Inc,0.0,0.0,0.87,0.0,0.87,,,,
2154,DiRT,X360,2007,Racing,Codemasters,0.38,0.4,0.0,0.09,0.87,,,,
2155,Red Faction: Guerrilla,X360,2009,Shooter,THQ,0.48,0.29,0.01,0.09,0.87,,,,
2156,Fight Night Round 2,PS2,2005,Fighting,Electronic Arts,0.72,0.03,0.0,0.12,0.87,,,,
2157,Conflict: Desert Storm,XB,2002,Shooter,SCi,0.48,0.37,0.0,0.02,0.87,,,,
2158,MLB 16: The Show,PS4,2016,Action,Sony Computer Entertainment,0.7,0.0,0.0,0.16,0.87,,,,
2159,Triple Play 2002,PS2,2002,Sports,Electronic Arts,0.43,0.33,0.0,0.11,0.87,,,,
2160,Brothers in Arms: Hell's Highway,X360,2008,Shooter,Ubisoft,0.47,0.3,0.0,0.09,0.87,,,,
2161,Cooking Mama: World Kitchen,Wii,2008,Simulation,505 Games,0.51,0.27,0.01,0.08,0.87,,,,
2162,Vagrant Story,PS,2000,Role-Playing,Crave Entertainment,0.3,0.2,0.3,0.06,0.87,92.0,8.3,SquareSoft,T
2163,Warriors Orochi,PS2,2007,Action,Tecmo Koei,0.11,0.09,0.64,0.03,0.87,55.0,8.2,Omega Force,T
2164,Buzz! Master Quiz,PSP,2008,Misc,Sony Computer Entertainment,0.2,0.44,0.0,0.23,0.87,,,,
2165,Crysis 3,PS3,2013,Shooter,Electronic Arts,0.26,0.42,0.03,0.16,0.87,77.0,6.3,Crytek,M
2166,SingStar '90s,PS2,2007,Misc,Sony Computer Entertainment,0.1,0.59,0.0,0.18,0.87,73.0,,SCEE,T
2167,Mercenaries 2: World in Flames,PS3,2008,Shooter,Electronic Arts,0.29,0.39,0.02,0.16,0.87,72.0,7.1,Pandemic Studios,T
2168,Wizards of Waverly Place,DS,2009,Misc,Disney Interactive Studios,0.59,0.2,0.0,0.08,0.86,58.0,,Disney Interactive Studios,E
2169,Far Cry: Primal,XOne,2016,Action,Ubisoft,0.46,0.32,0.0,0.08,0.86,77.0,6.4,Ubisoft Montreal,M
2170,Ghostbusters: The Video Game,Wii,2009,Action,Atari,0.59,0.2,0.0,0.07,0.86,76.0,8.5,Red Fly Studio,E10+
2171,Beijing 2008,PS3,2008,Sports,Sega,0.14,0.54,0.01,0.18,0.86,,,,
2172,Endless Ocean: Blue World,Wii,2009,Simulation,Nintendo,0.46,0.21,0.12,0.06,0.86,76.0,8.5,Arika,E10+
2173,Winning Eleven: Pro Evolution Soccer 2007,PSP,2006,Sports,Konami Digital Entertainment,0.01,0.72,0.12,0.01,0.86,81.0,8.3,KCET,E
2174,Dragon Quest VIII: Journey of the Cursed King,3DS,2015,Role-Playing,Square Enix,0.0,0.0,0.86,0.0,0.86,,,Cygames,T
2175,Rocky,PS2,2002,Fighting,Rage Software,0.42,0.33,0.0,0.11,0.86,74.0,8.4,Rage Software,T
