id,name,platform,year_of_Release,genre,publisher,na_Sales,eu_Sales,jp_Sales,other_Sales,global_Sales,critic_Score,user_Score,developer,rating
46,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,94.0,6.3,Infinity Ward,M
47,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98.0,7.5,Rockstar North,M
48,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,,,,
49,Super Mario 64,DS,2004,Platform,Nintendo,5.01,3.06,1.25,0.97,10.3,,,,
50,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.72,2.55,0.04,0.91,10.23,73.0,2.6,Infinity Ward,M
51,Just Dance 3,Wii,2011,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,7.8,Ubisoft,E10+
52,Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,83.0,8.7,Nintendo,E
53,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.04,1.94,0.08,0.79,9.84,91.0,7.9,Bungie,M
54,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.09,2.47,0.62,9.84,78.0,7.2,Nintendo,E
55,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,9.2,SquareSoft,T
56,Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.63,2.28,0.04,0.73,9.69,87.0,7.0,343 Industries,M
57,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,9.0,Polyphony Digital,T
58,Just Dance 2,Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,7.3,Ubisoft,E10+
59,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.09,3.63,0.38,1.25,9.36,71.0,2.6,Infinity Ward,M
60,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.92,2.35,0.13,0.9,9.29,94.0,8.4,Infinity Ward,M
61,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.01,2.32,4.37,0.38,9.09,88.0,8.7,Nintendo,E
62,Minecraft,X360,2013,Misc,Microsoft Game Studios,5.62,2.62,0.02,0.8,9.06,,,,
63,Mario Party DS,DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,7.8,Hudson Soft,E
64,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.04,2.78,0.1,0.85,8.77,96.0,8.4,Bethesda Game Studios,M
65,FIFA 16,PS4,2015,Sports,Electronic Arts,1.11,6.09,0.06,1.27,8.54,82.0,4.3,EA Sports,E
66,Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.0,8.2,Bungie Software,M
67,Wii Party,Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68.0,7.4,Nd Cube,E
